ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr,Q0,CM_SNR,SFR_SD
0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.96,39.22,40.06,11.43,5690,403.2,nan,nan,nan,nan,nan,nan,nan,nan,2.541e+04,4253,5.063,0.07147,2.769e+52,1.203,359.9
1,0,7.204e+06,7.267e+05,nan,nan,nan,nan,37.4,0.5544,nan,nan,nan,nan,62.03,149.8,153.9,64.29,5.835e+04,2448,nan,nan,nan,nan,nan,nan,nan,nan,9.755e+05,9.984e+04,39.21,0.6394,1.078e+54,1.204,391.4
2,1,4.942e+06,5.002e+05,nan,nan,nan,nan,37.11,0.5957,nan,nan,nan,nan,56.05,83.13,106.9,36.96,4.324e+04,1958,nan,nan,nan,nan,nan,nan,nan,nan,6.834e+05,7.052e+04,38.62,0.6411,6.758e+53,1.132,382.9
3,1,4.671e+06,4.731e+05,nan,nan,nan,nan,36.97,0.608,nan,nan,nan,nan,55.6,82.58,106.1,36.19,3.946e+04,1929,nan,nan,nan,nan,nan,nan,nan,nan,6.407e+05,6.622e+04,38.63,0.6417,6.028e+53,1.083,382.8
4,2,3.094e+05,3.82e+04,nan,nan,nan,nan,9.231,0.156,nan,nan,nan,nan,26.74,37.18,41.82,7.536,5943,432,nan,nan,nan,nan,nan,nan,nan,nan,6.215e+04,7991,9.086,0.1234,4.387e+52,0.8783,385.1
5,1,3.972e+06,4.029e+05,nan,nan,nan,nan,37.1,0.6816,nan,nan,nan,nan,55.32,84.54,107.1,43.36,3.7e+04,1881,nan,nan,nan,nan,nan,nan,nan,nan,5.245e+05,5.457e+04,37.17,0.6227,5.005e+53,1.112,381.8
6,1,7.281e+05,7.944e+04,nan,nan,nan,nan,14.48,0.2816,nan,nan,nan,nan,37.97,17.12,28.98,8.341,1.205e+04,902.3,nan,nan,nan,nan,nan,nan,nan,nan,1.134e+05,1.339e+04,13.53,0.2012,9.535e+52,0.9487,400.2
7,2,5.577e+05,6.223e+04,nan,nan,nan,nan,14.3,0.2799,nan,nan,nan,nan,37.99,21.96,36.42,19.53,8547,595.2,nan,nan,nan,nan,nan,nan,nan,nan,8.806e+04,1.077e+04,13.33,0.1983,7.423e+52,0.9779,397.3
8,1,3.234e+06,3.288e+05,nan,nan,nan,nan,34.88,0.6156,nan,nan,nan,nan,32.65,83.21,79.38,50.55,2.804e+04,1363,nan,nan,nan,nan,nan,nan,nan,nan,4.098e+05,4.307e+04,35.54,0.6268,4.037e+53,1.159,376.4
9,2,9.583e+05,1.014e+05,nan,nan,nan,nan,13.57,0.177,nan,nan,nan,nan,18.29,43.91,35.27,19.81,1.025e+04,604.8,nan,nan,nan,nan,nan,nan,nan,nan,1.414e+05,1.597e+04,13.83,0.1964,1.46e+53,1.342,354.6
