nsig,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
26,900.4,223.3,nan,nan,nan,nan,nan,nan,nan,nan,99.18,0.8551,nan,nan,nan,nan,nan,nan,nan,nan,4.95,5.084,nan,0.04532,92.15,38.4
25,1.249e+04,1468,152.9,43.39,nan,nan,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,nan,nan,nan,nan,nan,nan,47.68,966.6,347.7,1211,483.8,144
24,4.313e+04,4552,1349,182.2,nan,nan,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,nan,nan,nan,nan,nan,nan,50.61,969.4,358.8,1185,967.5,192
23,8.487e+04,8735,4230,476.8,nan,nan,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,nan,nan,nan,nan,nan,nan,61.58,970.5,396.3,1151,1451,249.6
22,1.433e+05,1.459e+04,8684,925.5,nan,nan,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,nan,nan,nan,nan,nan,nan,65.23,974.4,408.7,1155,2626,508.8
21,2.421e+05,2.448e+04,1.565e+04,1624,nan,nan,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,nan,nan,nan,nan,nan,nan,70.52,974.8,425.2,1115,5552,950.3
20,4.112e+05,4.14e+04,2.542e+04,2604,nan,nan,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,nan,nan,nan,nan,nan,nan,78,975,447.3,1058,1.044e+04,1411
19,6.785e+05,6.814e+04,3.809e+04,3874,nan,nan,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,nan,nan,nan,nan,nan,nan,87.05,974.6,472.5,957.3,1.606e+04,1709
18,1.054e+06,1.057e+05,5.506e+04,5573,nan,nan,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,nan,nan,nan,nan,nan,nan,183.7,963.7,683.3,689.9,2.336e+04,2265
17,1.641e+06,1.644e+05,7.489e+04,7559,nan,nan,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,nan,nan,nan,nan,nan,nan,126.9,994.6,576.7,761.6,3.476e+04,3033
16,2.5e+06,2.504e+05,1.007e+05,1.014e+04,nan,nan,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,nan,nan,nan,nan,nan,nan,112.6,1035,554,885.8,4.831e+04,3600
15,3.641e+06,3.645e+05,1.32e+05,1.327e+04,86.46,40.96,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,832.2,55.71,nan,nan,nan,nan,534,1576,1491,964.5,6.828e+04,5520
14,5.387e+06,5.39e+05,1.707e+05,1.715e+04,586.8,121.8,nan,nan,nan,nan,99.18,0.8551,214.1,2.667,832.2,55.71,nan,nan,nan,nan,535.9,1585,1498,1115,1.039e+05,8639
13,8.128e+06,8.132e+05,2.19e+05,2.199e+04,1584,239.4,8.001,13.6,nan,nan,99.18,0.8551,214.1,2.667,832.2,55.71,nan,nan,nan,nan,537,1612,1512,1175,1.561e+05,1.226e+04
12,1.204e+07,1.204e+06,2.767e+05,2.776e+04,3040,396.9,30.61,27.32,nan,nan,99.18,0.8551,214.1,2.667,832.2,55.71,nan,nan,nan,nan,518.3,1746,1546,1313,2.304e+05,1.716e+04
