ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim
1,2,1.174e+06,38.52,5.194e+04,15.19,1.811e+04,15.12,22.13,0.2709,18.81,0.2428,22.33,0.5356,32.19,53.3,60.46,20.45,1.603e+04,681.6
2,2,1.092e+06,37.44,6.186e+04,15.03,2.728e+04,15.11,17.82,0.2267,15.81,0.2136,18.18,0.359,35.83,54.66,65.55,10.36,2.165e+04,1104
3,2,9.577e+05,34.06,3.927e+04,14.58,1.529e+04,14.59,19.61,0.2598,16.96,0.2004,16.4,0.3255,43.15,25.16,44.61,8.739,1.873e+04,873.5
4,2,9.497e+05,38.69,4.015e+04,15.05,2.428e+04,15.07,24.7,0.4157,24.62,0.5052,-0.5631,0.08346,46.46,63.89,83.46,10.05,2.006e+04,787.1
5,2,6.487e+05,30.06,2.364e+04,14.11,9728,14.1,15.85,0.2197,14.6,0.2482,13.04,0.3031,45.53,25.71,47.07,20.96,1.691e+04,844.7
6,2,2.422e+05,22.76,9549,13.38,3769,13.35,15.38,0.2192,13.68,0.205,0.5738,0.06559,31.05,20.57,28.46,9.153,5552,345.6
7,2,9.355e+04,21.34,4248,13.13,3648,13.16,10.19,0.1513,9.354,0.3133,9.1,0.3562,22.84,37.18,36.96,13.41,6635,432
8,2,3.247e+05,29.51,7934,13.92,nan,nan,16.82,0.2383,16.18,0.2885,0.7377,0.08472,39.27,28.18,45.23,12.43,1.52e+04,796.7
9,2,1.359e+05,22.28,nan,nan,nan,nan,9.332,0.1302,8.687,0.1927,1.299,0.1299,44.93,18.68,36.61,21.66,9030,499.2
10,2,2.539e+05,25.79,8816,13.4,3752,13.39,11.72,0.171,7.969,0.3235,0.5091,0.07075,59.63,37.41,70.83,15.8,1.246e+04,652.8
11,2,2.24e+05,24.89,1.171e+04,13.47,5337,13.52,14.87,0.1966,13.23,0.3415,7.598,0.2118,23.3,16.67,12.17,12,1.315e+04,767.9
12,2,6.102e+05,37.54,9236,14.55,nan,nan,15.28,0.2204,13.34,0.3035,16.06,0.9657,67.96,45.21,85.09,25.81,2.29e+04,1008
13,2,1.303e+05,20.51,2069,13.08,nan,nan,6.734,0.08447,5.953,0.1521,8.763,0.4414,51.65,27.47,53.59,17.94,7925,451.2
14,2,3.959e+05,31.12,nan,nan,nan,nan,14.34,0.2299,0.77,0.07633,2.155,0.1447,47.98,33.64,58.2,10.72,2.062e+04,1123
