ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr,Q0,CM_SNR,SFR_SD
1,2,1.075e+06,1.094e+05,9.252e+04,1.038e+04,3.892e+04,6327,5.399,0.08462,5.376,0.09438,5.214,0.08755,28.6,33.4,40.57,6.394,8270,566.4,nan,nan,nan,nan,nan,nan,nan,nan,2.219e+05,2.265e+04,5.253,0.07844,7.656e+53,18.66,1851
2,2,6.303e+05,6.517e+04,6.481e+04,7530,2.586e+04,4828,4.792,0.07422,4.581,0.06074,4.692,0.08441,31.78,26.05,36.18,7.608,6013,403.2,nan,nan,nan,nan,nan,nan,nan,nan,1.25e+05,1.304e+04,4.623,0.06577,3.573e+53,13.14,1816
3,2,5.795e+05,5.966e+04,4.338e+04,5446,1.368e+04,3743,3.814,0.05699,3.765,0.05469,3.791,0.07516,28.82,24.42,31.32,4.435,4976,355.2,nan,nan,nan,nan,nan,nan,nan,nan,9.45e+04,9972,3.703,0.05287,1.291e+53,6.435,509.9
4,2,5.522e+05,5.703e+04,4.041e+04,5222,1.293e+04,3717,5.284,0.09032,5.203,0.08664,4.888,0.09715,21.26,24.4,22.19,5.705,3663,288,nan,nan,nan,nan,nan,nan,nan,nan,8.765e+04,9330,5.159,0.0917,1.417e+53,6.997,507.8
5,2,1.767e+05,1.973e+04,1.444e+04,2494,6306,2232,2.52,0.03986,2.47,0.03654,2.66,0.06456,19.69,24.3,19.64,9.312,3087,336,nan,nan,nan,nan,nan,nan,nan,nan,3.035e+04,3617,2.533,0.0421,1.377e+53,17.99,1840
6,2,1.932e+05,2.103e+04,1.29e+04,2318,nan,nan,2.164,0.03609,2.041,0.02735,nan,nan,23.67,19.85,19.06,3.262,3340,307.2,nan,nan,nan,nan,nan,nan,nan,nan,2.634e+04,3227,2.164,0.03739,4.647e+52,6.764,509.2
7,2,4.846e+05,5.01e+04,2.918e+04,4148,1.039e+04,3269,3.422,0.0508,3.414,0.04969,3.43,0.06685,43.77,15.14,29.54,19.19,6450,604.8,nan,nan,nan,nan,nan,nan,nan,nan,8.953e+04,9396,3.36,0.04721,4.844e+53,30.1,2001
8,2,5.283e+04,7984,6182,1520,nan,nan,1.643,0.03207,1.478,0.01921,nan,nan,18.36,13.74,nan,6.977,2672,268.8,3077,1093,0.9999,0.0173,nan,nan,nan,nan,9987,1673,1.611,0.02929,7.128e+52,19.98,1330
9,2,3.937e+04,6366,4429,1242,nan,nan,1.152,0.01709,1.147,0.01674,nan,nan,19.37,13.83,nan,2.915,1659,201.6,nan,nan,nan,nan,nan,nan,nan,nan,7781,1365,1.159,0.01755,5.461e+52,21.93,1345
10,2,5.939e+04,8235,4184,1387,3513,1461,1.759,0.02888,1.712,0.02542,1.758,0.0324,15.61,14.5,nan,1.567,1935,201.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.364e+51,1.656,423.6
11,2,7.409e+05,7.595e+04,5.051e+04,6365,1.646e+04,4413,5.492,0.09445,5.419,0.08658,5.411,0.1111,45.71,16.24,32.92,20.65,6427,460.8,nan,nan,nan,nan,nan,nan,nan,nan,1.393e+05,1.442e+04,5.397,0.08904,9.861e+53,35.51,1996
12,2,2.847e+05,3.032e+04,1.973e+04,3119,7843,2691,5.53,0.08845,5.501,0.08165,5.877,0.1506,17.6,13.78,nan,2.242,2488,268.8,nan,nan,nan,nan,nan,nan,nan,nan,5.282e+04,5775,5.306,0.07445,2.94e+53,27.22,1922
13,2,8.283e+04,1.062e+04,5625,1642,4841,1722,1.974,0.03345,1.898,0.0276,1.879,0.03281,17.1,15.92,nan,2.77,2004,211.2,nan,nan,nan,nan,nan,nan,nan,nan,4837,1569,1.967,0.03321,8.078e+51,1.833,423.6
14,2,4.364e+04,6611,4296,1229,nan,nan,1.287,0.01796,1.286,0.0161,nan,nan,24.15,13.07,nan,43.44,1912,220.8,nan,nan,nan,nan,nan,nan,nan,nan,6838,1307,1.287,0.02015,3.33e+52,13.57,1816
15,2,1.028e+05,1.266e+04,7198,1859,6508,1950,2.377,0.0409,2.311,0.03574,2.231,0.03221,19.83,15.24,nan,12.54,2258,230.4,nan,nan,nan,nan,nan,nan,nan,nan,6398,1777,2.379,0.04075,9.302e+51,1.711,423.6
16,2,5.388e+04,7985,5938,1490,nan,nan,1.603,0.02819,1.493,0.02091,nan,nan,22.25,13.3,nan,15.12,2073,220.8,nan,nan,nan,nan,nan,nan,nan,nan,1.018e+04,1668,1.581,0.02724,7.223e+52,20.89,1344
17,2,6.961e+04,8959,5205,1408,nan,nan,2.136,0.03722,2.06,0.02917,nan,nan,14.31,16.13,nan,2.809,1520,182.4,nan,nan,nan,nan,nan,nan,nan,nan,7962,1495,2.182,0.04122,2.522e+52,7.966,505.5
18,2,1.142e+05,1.323e+04,7225,1711,nan,nan,1.505,0.02112,1.491,0.02004,nan,nan,14.9,23.89,7.911,16.34,4124,412.8,nan,nan,nan,nan,nan,nan,nan,nan,2.106e+04,2586,1.447,0.01792,4.736e+52,10.64,1910
19,2,7.164e+04,9702,5212,1604,4480,1687,2.398,0.04282,2.316,0.0364,2.499,0.05515,16.08,12.54,nan,4.616,2073,220.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.37e+51,1.73,423.7
20,2,5.623e+04,7177,3185,1082,nan,nan,1.193,0.02026,1.115,0.0146,nan,nan,12.76,23.22,nan,19.6,1935,259.2,nan,nan,nan,nan,nan,nan,nan,nan,1.127e+04,1507,1.212,0.02201,1.739e+52,8.782,1924
21,2,5.385e+04,7381,3126,1212,3033,1291,1.562,0.02504,1.562,0.02517,1.523,0.02226,12.89,16.04,nan,1.173,1405,163.2,nan,nan,nan,nan,nan,nan,nan,nan,3329,1180,1.569,0.02604,4.23e+51,1.668,423.8
22,2,1.755e+05,1.984e+04,1.069e+04,2396,9834,2496,4.041,0.06259,4.113,0.0678,3.899,0.05634,16.86,14.31,nan,4.339,2304,230.4,nan,nan,nan,nan,nan,nan,nan,nan,1.107e+04,2351,3.969,0.05735,1.544e+52,1.814,423.8
23,2,5.174e+04,7197,2887,1195,2563,1270,1.977,0.03385,1.948,0.03149,1.818,0.03027,14.14,10.89,nan,2.82,1474,182.4,nan,nan,nan,nan,nan,nan,nan,nan,2890,1158,1.975,0.03395,3.793e+51,1.523,424.3
24,2,2.441e+04,4162,1381,793.9,1444,850.6,0.7898,0.0126,0.7532,0.009753,0.7356,0.008533,14.62,12.34,nan,4.323,1221,172.8,nan,nan,nan,nan,nan,nan,nan,nan,1545,771.7,0.7885,0.01242,2.009e+51,1.776,424
25,2,3.532e+04,5500,2045,999,nan,nan,2.008,0.03658,1.936,0.03137,nan,nan,9.961,16.08,nan,5.433,1428,163.2,nan,nan,nan,nan,nan,nan,nan,nan,1972,966.1,1.887,0.0319,3.067e+51,1.733,423.6
26,2,2.518e+04,4958,2855,1031,nan,nan,1.745,0.03035,1.757,0.02852,nan,nan,12.24,10.71,nan,1.505,1405,182.4,nan,nan,nan,nan,nan,nan,nan,nan,3689,1026,1.796,0.03596,3.963e+52,21.83,1334
27,2,5.672e+04,7719,4418,1292,2121,1319,2.291,0.03495,2.287,0.03423,2.324,0.05511,13.31,11.05,nan,2.066,1405,182.4,nan,nan,nan,nan,nan,nan,nan,nan,9023,1481,2.327,0.03772,4.624e+52,16.95,1831
28,2,7033,2698,1110,614,nan,nan,0.5744,0.00734,0.6078,0.01015,nan,nan,13.16,9.109,nan,2.242,1037,163.2,nan,nan,nan,nan,nan,nan,nan,nan,1378,600.1,0.5692,0.006959,1.194e+52,17.69,1317
29,2,2.417e+04,4619,2513,946.6,1234,986.3,1.34,0.02057,1.316,0.01889,1.362,0.0299,14.07,12.16,nan,1.869,1221,192,nan,nan,nan,nan,nan,nan,nan,nan,3065,934.4,1.346,0.02209,1.987e+52,12.89,1812
30,2,8.56e+04,1.051e+04,5581,1519,nan,nan,2.374,0.0419,2.377,0.04059,nan,nan,14.77,11.81,nan,1.632,2350,336,nan,nan,nan,nan,nan,nan,nan,nan,9653,1673,2.321,0.04189,2.956e+52,8.001,504.4
31,2,1.299e+05,1.44e+04,6703,1590,nan,nan,2.368,0.03977,2.263,0.0324,nan,nan,17.94,12.51,nan,6.611,2281,249.6,nan,nan,nan,nan,nan,nan,nan,nan,2.059e+04,2487,2.385,0.04179,6.374e+52,16.55,2030
