ncl,cltype,COmax_x,COmax_y,COmax_v,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim
1,2,435,231,533,4.96e+05,27.25,3.148e+04,13.86,1.168e+04,13.81,8.258,0.1657,7.682,0.2003,6.925,0.1863,63,35.01,70.35,29.53,4.28e+04,2429
2,2,436,231,535,2.264e+05,20.96,1.789e+04,13.26,7135,13.28,4.99,0.06978,4.912,0.05794,5.241,0.09379,47.62,34.63,58.99,6.266,1.5e+04,892.7
3,2,321,594,680,2.473e+05,21.09,1.479e+04,13.27,4296,13.24,4.043,0.05844,4.145,0.07998,4.031,0.09061,37.41,36.2,51.97,3.063,2.571e+04,1536
4,2,321,594,683,2.313e+05,21.04,1.43e+04,13.27,4168,13.23,5.465,0.07346,5.45,0.06678,5.001,0.09186,28.5,32.05,39.19,3.881,1.919e+04,1046
5,2,428,229,508,1.189e+05,17.13,6152,12.96,2536,12.95,2.947,0.04136,2.783,0.03055,2.564,0.04591,32,48.76,56.96,17.55,1.53e+04,1229
6,2,320,595,664,1.059e+05,16.46,5339,12.91,1671,12.91,2.378,0.03107,2.186,0.0199,2.182,0.0513,34.04,40.64,52.7,11.19,1.17e+04,729.5
7,2,459,218,554,2.206e+05,19.39,1.133e+04,13.13,4042,13.13,3.981,0.0593,3.886,0.05503,3.703,0.06531,51.62,28.67,55.07,15.48,2.011e+04,1056
8,2,560,285,582,2.532e+04,14.87,2715,12.81,959.5,12.81,2.161,0.04055,2.023,0.03409,1.694,0.04605,25.91,20.95,23.59,5.611,8501,604.8
9,2,560,285,587,1.886e+04,14.17,1805,12.77,786.1,12.78,1.689,0.02477,1.56,0.01742,1.642,0.02784,30.55,19.68,26.66,6.523,7280,643.2
10,2,515,509,478,3.291e+04,15.01,2038,12.82,1444,12.82,2.184,0.03901,1.972,0.04224,2.147,0.04116,26.4,25.52,30.03,2.573,1.03e+04,787.1
11,2,458,219,546,3.435e+05,23.06,1.914e+04,13.45,5882,13.43,7.446,0.1293,6.876,0.1104,6.648,0.1641,52.03,24.84,50.37,8.06,1.958e+04,988.7
12,2,437,218,526,1.221e+05,17.12,6881,12.96,2712,12.97,4.845,0.07801,4.716,0.07028,4.622,0.0889,28.12,23.26,29.16,3.349,9307,825.5
13,2,515,509,488,3.995e+04,15.41,2527,12.85,1837,12.85,2.134,0.03655,2.086,0.03185,1.837,0.03325,27.15,25.32,30.64,3.535,1.067e+04,835.1
14,2,437,232,555,2.823e+04,14.46,2089,12.78,911.8,12.79,2.351,0.04877,1.933,0.0177,2.043,0.04209,39.77,21.15,36.67,21.71,9123,748.7
15,2,516,509,499,4.407e+04,15.68,2913,12.87,2198,12.87,2.935,0.04725,3.059,0.03507,2.741,0.04846,28.22,22.63,28.45,8.34,1.039e+04,758.3
16,2,559,285,589,2.575e+04,14.76,2595,12.81,975.3,12.81,2.182,0.05338,1.796,0.02788,1.678,0.02592,32.89,19.23,28.16,4.929,1.06e+04,902.3
17,2,322,595,706,6.073e+04,15.68,3510,12.86,931.8,12.84,3.084,0.04626,2.989,0.03486,3.487,0.1024,23.51,35.33,36.28,15.8,1.004e+04,863.9
18,2,454,231,554,7.878e+04,15.7,3815,12.86,1492,12.87,2.504,0.0393,2.32,0.03133,2.189,0.03219,47.85,26.64,49.91,21.6,1.115e+04,835.1
19,2,515,509,470,4.129e+04,15.74,2760,12.87,1948,12.87,2.449,0.04927,2.389,0.04256,2.567,0.06199,22.31,27.7,27.47,8.124,1.021e+04,710.3
20,2,455,232,562,4.066e+04,14.25,1807,12.77,714.1,12.77,1.804,0.02001,1.826,0.01972,1.557,0.03678,26.1,36.75,40.7,13.51,8570,681.6
21,2,515,509,525,3.084e+04,14.62,1651,12.79,1504,12.8,2.026,0.02675,2.116,0.02601,2.055,0.03405,20.35,26.11,22.94,10.09,7234,576
22,2,516,509,508,8.131e+04,17.59,4902,13,3708,13,4.29,0.06233,4.493,0.06677,3.942,0.05976,22.7,25.35,25.35,3.79,1.279e+04,959.9
23,2,516,509,534,3.317e+04,14.83,1863,12.82,1437,12.82,1.834,0.02316,2.83,0.02849,1.986,0.02426,25.95,20.59,23.11,8.731,7809,508.8
24,2,515,509,521,1.889e+04,13.86,918.9,12.75,920.6,12.75,1.456,0.01902,1.884,0.02717,1.337,0.02294,24.06,22.5,23.49,5.725,5229,412.8
25,2,516,509,544,3.17e+04,14.85,1714,12.81,1205,12.81,2.532,0.02989,2.644,0.03217,2.512,0.05416,21.1,27.82,25.95,6.643,7832,585.6
26,2,560,285,595,2.107e+04,14.89,2328,12.81,801,12.81,2.499,0.05155,2.804,0.05214,2.031,0.07749,23.18,18.1,15.18,2.819,1.219e+04,959.9
27,2,431,231,496,8.39e+04,16.69,4416,12.93,1834,12.93,3.03,0.04867,2.875,0.0346,2.217,0.06203,27.51,43.44,47.75,12.94,1.875e+04,1709
28,2,559,287,608,1.35e+04,14.49,1656,12.79,479.3,12.78,1.921,0.03297,2.369,0.05139,2.018,0.06431,32.27,12.31,13.1,23.15,1.168e+04,1306
29,2,437,233,560,2.555e+04,14.25,1720,12.77,765,12.77,2.218,0.04104,2.016,0.03358,2.349,0.0703,27.72,18.94,22.57,8.764,5460,451.2
30,2,321,595,656,1.167e+05,17.59,5624,12.99,1512,12.96,4.448,0.07597,4.192,0.06435,2.486,0.09179,32.39,43.19,53.08,12.61,1.458e+04,883.1
31,2,459,219,560,1.093e+05,16.41,4785,12.91,1540,12.9,3.393,0.06192,3.079,0.04053,3.584,0.111,38.37,25.21,40.96,13.64,1.352e+04,863.9
32,2,561,285,572,2.317e+04,14.61,2538,12.8,1051,12.8,2.186,0.04001,2.005,0.02698,2.208,0.0554,25.38,18.62,19.25,9.209,5690,460.8
33,2,515,508,446,1.117e+04,13.73,764.7,12.74,422.4,12.74,1.841,0.03095,1.705,0.0166,1.339,0.02938,17.06,21.53,9.612,22.05,7349,748.7
34,2,516,508,552,2.141e+04,14.36,1277,12.78,775.3,12.77,1.57,0.02018,1.738,0.02031,1.4,0.02847,25.28,19.09,19.92,11.6,7164,604.8
35,2,322,596,722,2.205e+04,14.31,1513,12.78,502.2,12.77,2.555,0.04121,2.553,0.03997,2.429,0.06479,17.9,29.5,22.74,16.95,6496,518.4
36,2,514,508,440,1.313e+04,14,914.1,12.76,678.9,12.76,2.007,0.03998,1.776,0.02097,1.981,0.04733,18.4,27.78,21.74,15.19,7510,624
37,2,344,612,780,2.365e+04,14.01,1405,12.76,475,12.75,1.887,0.03344,1.756,0.02111,1.946,0.04706,23.69,18.37,16.49,10.45,6681,633.6
38,2,454,231,546,6.297e+04,15.44,3056,12.85,1162,12.84,3.41,0.04633,3.136,0.02865,2.463,0.04026,28.51,22.96,29.18,8.606,9906,758.3
