ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr
1,2,1.569e+06,1.574e+05,6.365e+04,6976,2.288e+04,3604,30.04,0.3526,24.49,0.2228,27.24,0.6224,35.5,57.35,67.09,12.77,2.117e+04,787.1,nan,nan,nan,nan,25.88,387.7,0.6781,0.06177,1.937e+05,1.958e+04,28.4,0.2982
2,2,1.404e+06,1.409e+05,7e+04,7494,3.085e+04,4085,18.46,0.2022,15.88,0.2149,18.99,0.4184,39.13,58.25,71.73,9.574,3.073e+04,1190,nan,nan,nan,nan,nan,nan,nan,nan,2.412e+05,2.427e+04,17.61,0.1821
3,2,1.198e+06,1.202e+05,4.462e+04,5036,1.759e+04,2907,20.81,0.2585,17.55,0.1988,16.71,0.3743,44.18,27.87,48.74,10.05,2.361e+04,1037,nan,nan,nan,nan,nan,nan,nan,nan,1.888e+05,1.903e+04,20.1,0.1909
4,2,1.388e+06,1.394e+05,5.224e+04,5919,3.047e+04,4119,25.44,0.426,25.21,0.5046,23.24,0.6103,51.35,74.05,95.75,23.62,2.785e+04,979.1,270.6,159.2,2.94,0.05663,765.3,422.1,7.405,0.06749,2.527e+05,2.544e+04,24.02,0$
5,2,8.482e+05,8.532e+04,2.77e+04,3441,1.162e+04,2329,16.59,0.2243,15.11,0.2664,12.49,0.2702,49.92,28.87,54.13,22.03,2.308e+04,988.7,nan,nan,nan,nan,nan,nan,nan,nan,1.319e+05,1.335e+04,16.05,0.209
6,2,3.7e+05,3.767e+04,1.326e+04,2048,nan,nan,19.22,0.2332,17.04,0.262,nan,nan,35.28,24.14,37.05,14.53,1.034e+04,652.8,nan,nan,nan,nan,nan,nan,nan,nan,5.314e+04,5547,19.25,0.256
7,2,1.478e+05,1.611e+04,6066,1379,5678,1424,14.73,0.2834,0.5716,0.04,0.4349,0.05674,25.39,43.62,45.25,16.34,1.193e+04,796.7,nan,nan,nan,nan,nan,nan,nan,nan,4.289e+04,4524,13.03,0.1573
8,2,4.781e+05,4.878e+04,nan,nan,nan,nan,17.62,0.2657,nan,nan,nan,nan,34.05,43.79,55.33,14.17,2.299e+04,950.3,nan,nan,nan,nan,nan,nan,nan,nan,7.122e+04,7447,17.58,0.2551
9,2,2.338e+05,2.441e+04,nan,nan,nan,nan,12.96,0.1787,nan,nan,nan,nan,46.89,30.86,54.27,20.7,1.767e+04,1066,nan,nan,nan,nan,nan,nan,nan,nan,4.079e+04,4371,12.55,0.1691
10,2,3.849e+05,3.934e+04,1.167e+04,1904,5174,1598,13.45,0.198,0.6684,0.08262,0.1643,44.25,59.95,42.16,76.17,19.91,2.046e+04,979.1,nan,nan,nan,nan,nan,nan,nan,nan,1.052e+05,1.068e+04,12.56,0.143
11,2,3.319e+05,3.411e+04,1.547e+04,2254,nan,nan,16.39,0.2078,17.59,0.5004,nan,nan,27.44,19.07,22.47,2.895,2.129e+04,1056,5655,963.4,4.505,0.07506,nan,nan,nan,nan,6.501e+04,6738,16.91,0.2268
12,2,8.892e+05,8.982e+04,nan,nan,nan,nan,16.56,0.2264,nan,nan,nan,nan,81.66,51.41,101.1,32.76,3.246e+04,1171,nan,nan,nan,nan,nan,nan,nan,nan,1.189e+05,1.223e+04,16.59,0.226
13,2,1.725e+05,1.816e+04,nan,nan,nan,nan,8.038,0.07995,nan,nan,nan,nan,57.2,28.45,58.5,26.61,1.103e+04,566.4,nan,nan,nan,nan,5123,1512,6.487,0.1852,3.97e+04,4169,8.245,0.0932
14,2,6.34e+05,6.426e+04,nan,nan,nan,nan,15.37,0.2395,nan,nan,nan,nan,39.91,65.28,77.5,17.03,3.158e+04,1258,nan,nan,nan,nan,nan,nan,nan,nan,8.062e+04,8396,15.28,0.2321
15,2,4.501e+05,4.572e+04,1.33e+04,2135,7460,1793,13.71,0.2476,12.64,0.2555,12.86,0.6176,36.97,54.92,66.99,21.51,1.868e+04,911.9,nan,nan,nan,nan,968.3,697.7,3.976,0.1596,7.74e+04,7948,13.34,0.2012
16,2,2.498e+06,2.506e+05,4.87e+04,6519,nan,nan,30.34,0.4339,24.96,0.605,nan,nan,65.02,78.55,112.3,21.32,7.111e+04,2045,nan,nan,nan,nan,nan,nan,nan,nan,3.146e+05,3.179e+04,30.51,0.3887
17,2,7.13e+05,7.184e+04,2.316e+04,3040,9903,2142,23.4,0.3376,22.8,0.4252,18.88,0.5323,44.89,26.34,47.39,14.73,1.193e+04,614.4,nan,nan,nan,nan,nan,nan,nan,nan,8.742e+04,8962,23.05,0.3222
18,2,2.694e+04,3805,1042,588.5,nan,nan,4.153,0.06087,3.303,0.09647,nan,nan,25.16,36.81,39.61,16.17,5506,451.2,nan,nan,nan,nan,nan,nan,nan,nan,5528,817.6,4.008,0.05109
19,2,1.086e+06,1.093e+05,2.156e+04,3468,nan,nan,22.4,0.3518,21.14,0.4376,nan,nan,56.34,34.65,65.42,11.61,3.727e+04,1430,nan,nan,nan,nan,nan,nan,nan,nan,1.194e+05,1.228e+04,22.05,0.3155
20,2,4.108e+05,4.194e+04,nan,nan,nan,nan,18.68,0.3328,nan,nan,nan,nan,60.71,28.64,60.96,30.66,1.785e+04,883.1,nan,nan,nan,nan,nan,nan,nan,nan,6.501e+04,6773,17.54,0.2412
21,2,6.057e+04,7102,1445,751.9,nan,nan,6.74,0.1216,7.234,0.2868,nan,nan,48.94,27.06,51.2,16.12,1.053e+04,729.5,nan,nan,nan,nan,nan,nan,nan,nan,1.372e+04,1604,6.267,0.08522
22,2,1.242e+05,1.299e+04,5069,991.6,1663,826.5,10.95,0.1724,10.36,0.1963,10.25,0.5447,18.69,25.53,19.57,10.89,4354,355.2,nan,nan,nan,nan,nan,nan,nan,nan,1.547e+04,1764,10.26,0.126
23,2,7.686e+04,8370,nan,nan,nan,nan,10.51,0.1452,nan,nan,nan,nan,29.13,17.4,21.48,16.47,4077,316.8,nan,nan,nan,nan,nan,nan,nan,nan,1.151e+04,1370,10.84,0.1668
24,2,2.156e+05,2.247e+04,nan,nan,nan,nan,16.72,0.3026,nan,nan,nan,nan,41.82,31.13,50.62,15.84,1.242e+04,672,nan,nan,nan,nan,nan,nan,nan,nan,6.13e+04,6292,15.92,0.2383
25,2,1.851e+05,1.953e+04,nan,nan,nan,nan,13.87,0.1781,nan,nan,nan,nan,19.65,44.49,37.85,14.11,1.087e+04,624,nan,nan,nan,nan,nan,nan,nan,nan,2.724e+04,3060,14.14,0.1978
26,2,1.488e+05,1.592e+04,nan,nan,nan,nan,9.362,0.1424,nan,nan,nan,nan,32.45,55.37,62.2,17.62,1.341e+04,873.5,nan,nan,nan,nan,nan,nan,nan,nan,2.235e+04,2572,8.968,0.1144
27,2,5.459e+04,6760,nan,nan,nan,nan,9.243,0.1567,nan,nan,nan,nan,26.46,36.87,41.23,10.18,5759,412.8,nan,nan,nan,nan,nan,nan,nan,nan,1.098e+04,1416,9.085,0.1233
28,2,1.066e+05,1.124e+04,986.1,688.9,nan,nan,7.327,0.1165,1.46,0.0841,nan,nan,31.86,21.49,30.51,14.6,6151,451.2,nan,nan,nan,nan,nan,nan,nan,nan,1.445e+04,1649,6.965,0.09125
