ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr
1,2,1.938e+05,1.972e+04,1.669e+04,1872,7018,1141,5.399,0.08462,5.376,0.09438,5.214,0.08755,28.6,33.4,40.57,6.394,8270,566.4,nan,nan,nan,nan,nan,nan,nan,nan,4.002e+04,4085,5.253,0.07844
2,2,1.137e+05,1.175e+04,1.169e+04,1358,4663,870.7,4.792,0.07422,4.581,0.06074,4.692,0.08441,31.78,26.05,36.18,7.608,6013,403.2,nan,nan,nan,nan,nan,nan,nan,nan,2.254e+04,2351,4.623,0.06577
3,2,1.045e+05,1.076e+04,7822,982.1,2466,675.1,3.814,0.05699,3.765,0.05469,3.791,0.07516,28.82,24.42,31.32,4.435,4976,355.2,nan,nan,nan,nan,nan,nan,nan,nan,1.704e+04,1798,3.703,0.05287
4,2,9.958e+04,1.029e+04,7288,941.8,2332,670.3,5.284,0.09032,5.203,0.08664,4.888,0.09715,21.26,24.4,22.19,5.705,3663,288,nan,nan,nan,nan,nan,nan,nan,nan,1.581e+04,1683,5.159,0.0917
5,2,3.187e+04,3558,2604,449.7,1137,402.5,2.52,0.03986,2.47,0.03654,2.66,0.06456,19.69,24.3,19.64,9.312,3087,336,nan,nan,nan,nan,nan,nan,nan,nan,5473,652.2,2.533,0.0421
6,2,3.485e+04,3793,2326,418.1,nan,nan,2.164,0.03609,2.041,0.02735,nan,nan,23.67,19.85,19.06,3.262,3340,307.2,nan,nan,nan,nan,nan,nan,nan,nan,4751,581.9,2.164,0.03739
7,2,8.74e+04,9036,5262,748.1,1873,589.4,3.422,0.0508,3.414,0.04969,3.43,0.06685,43.77,15.14,29.54,19.19,6450,604.8,nan,nan,nan,nan,nan,nan,nan,nan,1.615e+04,1695,3.36,0.04721
8,2,9527,1440,1115,274,nan,nan,1.643,0.03207,1.478,0.01921,nan,nan,18.36,13.74,nan,6.978,2672,268.8,554.8,197,0.9999,0.0173,nan,nan,nan,nan,1801,301.8,1.611,0.02929
9,2,7099,1148,798.7,223.9,nan,nan,1.152,0.01709,1.147,0.01674,nan,nan,19.37,13.83,nan,2.916,1659,201.6,nan,nan,nan,nan,nan,nan,nan,nan,1403,246.2,1.159,0.01755
10,2,1.071e+04,1485,754.6,250.2,633.5,263.5,1.759,0.02888,1.712,0.02542,1.758,0.0324,15.61,14.5,nan,1.561,1935,201.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
